Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
10/01/2022,89,0,89,28,4,0,4,4,0,4,0,0,0,0,0,0,0.08988764045,0,0.08988764045
10/02/2022,183,0,183,46,7,0,7,8,0,8,0,0,0,2,0,2,0.09289617486,0,0.09289617486
10/03/2022,98,0,98,20,2,0,2,2,0,2,0,0,0,0,0,0,0.04081632653,0,0.04081632653
10/04/2022,44,0,44,20,2,0,2,4,0,4,0,0,0,0,0,0,0.1363636364,0,0.1363636364
10/05/2022,54,0,54,14,2,0,2,3,0,3,0,0,0,0,0,0,0.09259259259,0,0.09259259259
10/06/2022,55,0,55,20,1,0,1,2,0,2,0,0,0,0,0,0,0.05454545455,0,0.05454545455
10/07/2022,46,0,46,15,2,0,2,4,0,4,0,0,0,0,0,0,0.1304347826,0,0.1304347826
10/08/2022,38,0,38,15,5,0,5,3,0,3,0,0,0,0,0,0,0.2105263158,0,0.2105263158
10/09/2022,40,0,40,15,1,0,1,3,0,3,0,0,0,0,0,0,0.1,0,0.1
10/10/2022,61,0,61,22,1,0,1,1,0,1,0,0,0,0,0,0,0.03278688525,0,0.03278688525
10/11/2022,45,0,45,14,1,0,1,4,0,4,0,0,0,0,0,0,0.1111111111,0,0.1111111111
10/12/2022,41,0,41,10,0,0,0,2,0,2,0,0,0,1,0,1,0.07317073171,0,0.07317073171
10/13/2022,46,0,46,7,1,0,1,3,0,3,0,0,0,0,0,0,0.08695652174,0,0.08695652174
10/14/2022,63,0,63,10,2,0,2,4,0,4,0,0,0,0,0,0,0.09523809524,0,0.09523809524
10/15/2022,30,0,30,14,2,0,2,3,0,3,0,0,0,0,0,0,0.1666666667,0,0.1666666667
10/16/2022,127,0,127,46,6,0,6,7,0,7,0,0,0,1,0,1,0.1102362205,0,0.1102362205
10/17/2022,63,0,63,22,2,0,2,3,0,3,0,0,0,0,0,0,0.07936507937,0,0.07936507937
10/18/2022,59,0,59,16,2,0,2,3,0,3,0,0,0,0,0,0,0.08474576271,0,0.08474576271
10/19/2022,42,0,42,18,4,0,4,3,0,3,0,0,0,0,0,0,0.1666666667,0,0.1666666667
